NFE,Seed 1,Seed 2,Seed 3,Seed 4,Seed 5,Seed 6,Seed 7,Seed 8,Seed 9,Seed 10,Seed 11,Seed 12,Seed 13,Seed 14,Seed 15,Seed 16,Seed 17,Seed 18,Seed 19,Seed 20
10,0.04,0.05,0.00,0.09,0.01,0.03,0.07,0.02,0.01,0.00,0.13,0.05,0.02,0.03,0.08,0.01,0.01,0.03,0.01,0.08
20,0.05,0.08,0.05,0.09,0.09,0.07,0.13,0.02,0.04,0.02,0.15,0.06,0.06,0.05,0.08,0.01,0.06,0.06,0.01,0.12
30,0.20,0.16,0.16,0.22,0.12,0.21,0.14,0.07,0.06,0.02,0.29,0.19,0.10,0.11,0.09,0.06,0.06,0.14,0.16,0.15
40,0.23,0.24,0.30,0.25,0.27,0.30,0.26,0.08,0.08,0.15,0.35,0.21,0.13,0.17,0.14,0.10,0.14,0.18,0.20,0.22
50,0.36,0.26,0.31,0.28,0.28,0.34,0.35,0.19,0.18,0.17,0.49,0.29,0.14,0.30,0.17,0.23,0.28,0.30,0.35,0.30
60,0.38,0.30,0.45,0.42,0.35,0.47,0.45,0.26,0.31,0.20,0.51,0.44,0.18,0.34,0.24,0.34,0.36,0.45,0.44,0.36
70,0.42,0.40,0.50,0.44,0.42,0.62,0.53,0.30,0.32,0.29,0.54,0.53,0.28,0.47,0.28,0.35,0.38,0.60,0.53,0.46
80,0.44,0.45,0.64,0.47,0.42,0.69,0.63,0.37,0.46,0.39,0.67,0.65,0.41,0.61,0.42,0.38,0.53,0.68,0.59,0.61
90,0.51,0.51,0.71,0.56,0.51,0.79,0.71,0.47,0.53,0.40,0.71,0.74,0.44,0.66,0.48,0.45,0.55,0.71,0.68,0.68
100,0.57,0.56,0.77,0.64,0.52,0.83,0.80,0.51,0.61,0.48,0.78,0.78,0.52,0.68,0.49,0.51,0.61,0.73,0.75,0.73
110,0.61,0.60,0.84,0.72,0.58,0.93,0.83,0.51,0.71,0.53,0.86,0.81,0.54,0.73,0.56,0.54,0.62,0.75,0.84,0.73
120,0.64,0.68,0.84,0.82,0.60,0.95,0.91,0.54,0.72,0.57,0.93,0.84,0.56,0.75,0.58,0.63,0.66,0.81,0.86,0.76
130,0.73,0.75,0.88,0.91,0.61,0.95,0.93,0.56,0.73,0.64,0.95,0.85,0.64,0.81,0.61,0.72,0.68,0.83,0.87,0.85
140,0.82,0.75,0.90,0.97,0.66,0.95,0.97,0.63,0.73,0.70,0.95,0.89,0.68,0.89,0.62,0.75,0.76,0.89,0.91,0.94
150,0.83,0.75,0.91,0.98,0.67,0.95,0.97,0.64,0.74,0.71,0.95,0.90,0.68,0.90,0.63,0.75,0.76,0.90,0.91,0.95
160,0.83,0.75,0.91,0.98,0.67,0.95,0.98,0.64,0.74,0.71,0.95,0.91,0.69,0.91,0.63,0.75,0.77,0.91,0.92,0.95
170,0.83,0.76,0.91,0.98,0.68,0.96,0.98,0.64,0.74,0.72,0.95,0.91,0.69,0.91,0.63,0.76,0.78,0.91,0.93,0.95
180,0.84,0.76,0.92,0.99,0.68,0.96,0.98,0.65,0.75,0.72,0.95,0.92,0.69,0.91,0.63,0.77,0.78,0.92,0.94,0.95
190,0.84,0.77,0.92,0.99,0.69,0.96,0.99,0.66,0.75,0.73,0.95,0.92,0.70,0.92,0.64,0.77,0.78,0.92,0.94,0.96
200,0.85,0.77,0.93,0.99,0.69,0.96,0.99,0.67,0.75,0.73,0.95,0.92,0.70,0.92,0.65,0.78,0.79,0.93,0.95,0.96
